Rnk,BIB,Rider,Age,Team,year,stage
1,43,Rujano Jos\xe9 Humberto,23,Colombia - Selle Italia,2005,20
2,41,Parra Ivan Ramiro,29,Colombia - Selle Italia,2005,20
3,2,Simoni Gilberto,33,Lampre-Caffita,2005,20
4,201,Basso Ivan,27,CSC ProTeam,2005,20
5,151,Di Luca Danilo,29,Liquigas,2005,20
6,59,Halgand Patrice,31,Cr\xe9dit Agricole,2005,20
7,191,Garate Juan Manuel,29,Saunier Duval - Prodir,2005,20
8,71,Savoldelli Paolo,32,Discovery Channel,2005,20
9,86,Ivanov Ruslan,31,Domina Vacanze,2005,20
10,31,Atienza Daniel,30,Cofidis,2005,20
11,168,Valjavec Tadej,28,Phonak Hearing Systems,2005,20
12,44,Illiano Raffaele,28,Colombia - Selle Italia,2005,20
13,67,Van Huffel Wim,26,Davitamon - Lotto,2005,20
14,137,Osa Unai,29,Illes Balears - Caisse d'Epargne,2005,20
15,51,Bellotti Francesco,25,Cr\xe9dit Agricole,2005,20
16,153,Cioni Dario,30,Liquigas,2005,20
17,184,Niermann Grischa,29,Rabobank ProTeam,2005,20
18,192,Gomez Gomez Angel,24,Saunier Duval - Prodir,2005,20
19,77,Joachim Benoit,29,Discovery Channel,2005,20
20,108,Tosatto Matteo,31,Fassa Bortolo,2005,20
21,173,Christensen Mads,21,Quickstep - Innergetic,2005,20
22,187,Sutherland Rory,23,Rabobank ProTeam,2005,20
23,52,Caucchioli Pietro,29,Cr\xe9dit Agricole,2005,20
24,1,Cunego Damiano,23,Lampre-Caffita,2005,20
25,169,Zampieri Steve,27,Phonak Hearing Systems,2005,20
26,127,Krauss Sven,22,Gerolsteiner,2005,20
27,116,Renshaw Mark,22,Fran\xe7aise des Jeux,2005,20
28,89,Vanotti Alessandro,24,Domina Vacanze,2005,20
29,124,Moletta Andrea,26,Gerolsteiner,2005,20
30,182,Eltink Theo,23,Rabobank ProTeam,2005,20
31,203,Schleck Fr\xe4nk,25,CSC ProTeam,2005,20
32,148,Scarponi Michele,25,Liberty Seguros - W\xfcrth Team,2005,20
33,5,Tonti Andrea,33,Lampre-Caffita,2005,20
34,196,Rodr\xedguez Joaquim,26,Saunier Duval - Prodir,2005,20
35,46,Scarselli Leonardo,30,Colombia - Selle Italia,2005,20
36,39,White Matthew,31,Cofidis,2005,20
37,55,Le M\xe9vel Christophe,24,Cr\xe9dit Agricole,2005,20
38,156,Miholjevic Vladimir,31,Liquigas,2005,20
39,171,Bettini Paolo,31,Quickstep - Innergetic,2005,20
40,158,Noe Andrea,36,Liquigas,2005,20
41,8,Szmyd Sylwester,27,Lampre-Caffita,2005,20
42,6,Sabaliauskas Marius,26,Lampre-Caffita,2005,20
43,206,Blaudzun Michael,32,CSC ProTeam,2005,20
44,118,Casar Sandy,26,Fran\xe7aise des Jeux,2005,20
45,56,Muravyev Dmitriy,25,Cr\xe9dit Agricole,2005,20
46,207,Zabriskie David,26,CSC ProTeam,2005,20
47,217,Schmitz Bram,28,T-Mobile Team,2005,20
48,211,Baumann Eric,25,T-Mobile Team,2005,20
