Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
34,,111,16.0,+0:18,50.0,Gilbert Philippe,1,Quick-Step Floors,4:22:36 4:22:36,60.0,2,2017
26,,47,9.0,+0:13,30.0,Bevin Patrick,2,Cannondale-Drapac Pro Cycling Team,",, ,,",25.0,2,2017
30,,67,24.0,+0:20,18.0,Roux Anthony,3,FDJ,",, ,,",10.0,2,2017
36,,101,7.0,+0:11,13.0,Albasini Michael,4,ORICA-Scott,",, ,,",,2,2017
27,,118,10.0,+0:14,10.0,Trentin Matteo,5,Quick-Step Floors,",, ,,",,2,2017
33,,34,54.0,+0:45,7.0,Burghardt Marcus,6,BORA - hansgrohe,",, ,,",,2,2017
23,,142,52.0,+0:41,4.0,Bonifazio Niccolo,7,Bahrain Merida Pro Cycling Team,",, ,,",,2,2017
27,,31,5.0,+0:08,3.0,Sagan Peter,8,BORA - hansgrohe,",, ,,",,2,2017
24,,174,21.0,+0:20,2.0,Conti Valerio,9,UAE Team Emirates,",, ,,",,2,2017
26,,135,2.0,+0:01,1.0,Matthews Michael,10,Team Sunweb,",, ,,",,2,2017
31,,22,19.0,+0:19,,Bakelants Jan,11,AG2R La Mondiale,",, ,,",,2,2017
24,,204,45.0,+0:32,,Calmejane Lilian,12,Direct Energie,",, ,,",,2,2017
28,,153,17.0,+0:19,,Degenkolb John,13,Trek - Segafredo,",, ,,",,2,2017
26,,184,28.0,+0:21,,Gate Aaron,14,Aqua Blue Sport,",, ,,",,2,2017
23,,216,18.0,+0:19,,Tusveld Martijn,15,Roompot - Nederlandse Loterij,",, ,,",,2,2017
31,,162,4.0,+0:04,,Boom Lars,16,Team LottoNL-Jumbo,",, ,,",,2,2017
30,,18,20.0,+0:20,,Schar Michael,17,BMC Racing Team,",, ,,",,2,2017
23,,54,51.0,+0:40,,Kudus Merhawi,18,Team Dimension Data,",, ,,",,2,2017
29,,12,6.0,+0:10,,Caruso Damiano,19,BMC Racing Team,",, ,,",,2,2017
27,,92,23.0,+0:20,,Betancur Carlos,20,Movistar Team,",, ,,",,2,2017
22,,62,37.0,+0:25,,Eiking Odd Christian,21,FDJ,",, ,,",,2,2017
30,,197,58.0,+0:54,,Ponzi Simone,22,CCC Sprandi Polkowice,",, ,,",,2,2017
27,,2,33.0,+0:22,,Bilbao Pello,23,Astana Pro Team,",, ,,",,2,2017
22,,77,36.0,+0:24,,Restrepo Jhonatan,24,Team Katusha - Alpecin,",, ,,",,2,2017
30,,21,43.0,+0:30,,Frank Mathias,25,AG2R La Mondiale,",, ,,",,2,2017
33,,126,46.0,+0:33,,Nieve Mikel,26,Team Sky,",, ,,",,2,2017
30,,171,25.0,+0:20,,Costa Rui,27,UAE Team Emirates,",, ,,",,2,2017
30,,48,56.0,+0:48,,Woods Michael,28,Cannondale-Drapac Pro Cycling Team,",, ,,",,2,2017
26,,134,26.0,+0:21,,Preidler Georg,29,Team Sunweb,",, ,,",,2,2017
28,,61,15.0,+0:18,,Reichenbach Sebastien,30,FDJ,",, ,,",,2,2017
28,,68,31.0,+0:22,,Vichot Arthur,31,FDJ,",, ,,",,2,2017
26,,26,8.0,+0:12,,Houle Hugo,32,AG2R La Mondiale,",, ,,",,2,2017
