Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
29,6,1,+0:00,,,Terpstra Niki,1,Omega Pharma - Quick-Step,3:13:26 3:13:26,+0:00,10.0,,1,2014
28,26,2,+0:09,,,Roelandts Jurgen,2,Lotto Belisol,0:09 0:09,+0:09,,,1,2014
27,36,3,+0:12,,,Schar Michael,3,BMC Racing Team,0:12 0:12,+0:12,,,1,2014
35,103,4,+0:17,,,Elmiger Martin,4,IAM Cycling,0:17 0:17,+0:17,,,1,2014
26,81,5,+0:21,,,Kristoff Alexander,5,Team Katusha,0:21 0:21,+0:21,,,1,2014
23,131,6,+0:22,,,Bennett Sam,6,Team NetApp \u2013 Endura,0:22 0:22,+0:22,,,1,2014
22,7,7,+0:23,,,van Keirsbulck Guillaume,7,Omega Pharma - Quick-Step,0:23 0:23,+0:23,,,1,2014
33,1,8,+0:23,,,Boonen Tom,8,Omega Pharma - Quick-Step,",, 0:23",+0:23,,,1,2014
22,45,9,+0:23,,,Markus Barry,9,Belkin-Pro Cycling Team,",, 0:23",+0:23,,,1,2014
22,51,10,+0:23,,,D\xe9mare Arnaud,10,FDJ.fr,",, 0:23",+0:23,,,1,2014
25,151,11,+0:23,,,van Staeyen Michael,11,Topsport Vlaanderen - Baloise,",, 0:23",+0:23,,,1,2014
31,27,12,+0:23,,,Sieberg Marcel,12,Lotto Belisol,",, 0:23",+0:23,,,1,2014
28,128,13,+0:23,,,M\xf8rk\xf8v Michael,13,Tinkoff - Saxo,",, 0:23",+0:23,,,1,2014
27,115,14,+0:23,,,Kruopis Aidis,14,Orica GreenEDGE,",, 0:23",+0:23,,,1,2014
29,68,15,+0:23,,,Sutton Chris,15,Team Sky,",, 0:23",+0:23,,,1,2014
31,78,16,+0:23,,,Westra Lieuwe,16,Astana Pro Team,",, 0:23",+0:23,,,1,2014
28,37,17,+0:23,,,Van Avermaet Greg,17,BMC Racing Team,",, 0:23",+0:23,,,1,2014
27,58,18,+0:23,,,Offredo Yoann,18,FDJ.fr,",, 0:23",+0:23,,,1,2014
28,182,19,+0:23,,,Chtioui Rafa\xe2,19,Skydive Dubai Pro Cycling Team,",, 0:23",+0:23,,,1,2014
29,162,20,+0:23,,,Bazzana Alessandro,20,UnitedHealthcare Pro Cycling Team,",, 0:23",+0:23,,,1,2014
24,86,21,+0:23,,,Selig R\xfcdiger,21,Team Katusha,",, 0:23",+0:23,,,1,2014
27,152,22,+0:23,,,Jacobs Pieter,22,Topsport Vlaanderen - Baloise,",, 0:23",+0:23,,,1,2014
33,5,23,+0:23,,,Steegmans Gert,23,Omega Pharma - Quick-Step,",, 0:23",+0:23,,,1,2014
31,21,24,+0:23,,,Greipel Andr\xe9,24,Lotto Belisol,",, 0:23",+0:23,,,1,2014
23,2,25,+0:23,,,Fenn Andrew,25,Omega Pharma - Quick-Step,",, 0:23",+0:23,,,1,2014
33,117,26,+0:23,,,Mouris Jens,26,Orica GreenEDGE,",, 0:23",+0:23,,,1,2014
28,41,27,+0:23,,,Boom Lars,27,Belkin-Pro Cycling Team,",, 0:23",+0:23,,,1,2014
29,97,28,+0:23,,,Marangoni Alan,28,Cannondale,",, 0:23",+0:23,,,1,2014
35,112,29,+0:23,,,Hayman Mathew,29,Orica GreenEDGE,",, 0:23",+0:23,,,1,2014
31,3,30,+0:23,,,Keisse Iljo,30,Omega Pharma - Quick-Step,",, 0:23",+0:23,,,1,2014
25,153,31,+0:23,,,Salomein Jarl,31,Topsport Vlaanderen - Baloise,",, 0:23",+0:23,,,1,2014
24,158,32,+0:23,,,Wallays Jelle,32,Topsport Vlaanderen - Baloise,",, 0:23",+0:23,,,1,2014
27,4,33,+0:23,,,Maes Nikolas,33,Omega Pharma - Quick-Step,",, 0:23",+0:23,,,1,2014
30,32,34,+0:23,,,Burghardt Marcus,34,BMC Racing Team,",, 0:23",+0:23,,,1,2014
29,8,35,+0:23,,,Vandenbergh Stijn,35,Omega Pharma - Quick-Step,",, 0:23",+0:23,,,1,2014
28,53,36,+0:23,,,Delage Micka\xebl,36,FDJ.fr,",, 0:23",+0:23,,,1,2014
29,55,37,+0:23,,,Ladagnous Matthieu,37,FDJ.fr,",, 0:23",+0:23,,,1,2014
28,142,38,+0:23,,,Bagdonas Gediminas,38,AG2R La Mondiale,",, 0:23",+0:23,,,1,2014
26,67,39,+0:23,,,Stannard Ian,39,Team Sky,",, 0:23",+0:23,,,1,2014
22,157,40,+0:23,,,Waeytens Zico,40,Topsport Vlaanderen - Baloise,",, 0:23",+0:23,,,1,2014
31,31,41,+0:23,,,Gilbert Philippe,41,BMC Racing Team,",, 0:23",+0:23,,,1,2014
28,34,42,+0:23,,,Kohler Martin,42,BMC Racing Team,",, 0:23",+0:23,,,1,2014
24,71,43,+0:23,,,Guardini Andrea,43,Astana Pro Team,",, 0:23",+0:23,,,1,2014
32,11,44,+0:23,,,Cancellara Fabian,44,Trek Factory Racing,",, 0:23",+0:23,,,1,2014
23,56,45,+0:23,,,Le Bon Johan,45,FDJ.fr,",, 0:23",+0:23,,,1,2014
29,141,46,+0:23,,,Turgot S\xe9bastien,46,AG2R La Mondiale,",, 0:23",+0:23,,,1,2014
34,13,47,+0:23,,,Irizar Markel,47,Trek Factory Racing,",, 0:23",+0:23,,,1,2014
26,132,48,+0:23,,,Dempster Zakkari,48,Team NetApp \u2013 Endura,",, 0:23",+0:23,,,1,2014
26,74,49,+0:23,,,Guarnieri Jacopo,49,Astana Pro Team,",, 0:23",+0:23,,,1,2014
34,22,50,+0:23,,,Bak Lars Ytting,50,Lotto Belisol,",, 0:23",+0:23,,,1,2014
23,33,51,+0:23,,,Dillier Silvan,51,BMC Racing Team,",, 0:23",+0:23,,,1,2014
37,65,52,+0:23,,,Rasch Gabriel,52,Team Sky,",, 0:23",+0:23,,,1,2014
38,126,53,+0:23,,,Kroon Karsten,53,Tinkoff - Saxo,",, 0:23",+0:23,,,1,2014
29,123,54,+0:23,,,Breschel Matti,54,Tinkoff - Saxo,",, 0:23",+0:23,,,1,2014
25,24,55,+0:23,,,Dockx Gert,55,Lotto Belisol,",, 0:23",+0:23,,,1,2014
29,93,56,+0:23,,,Gatto Oscar,56,Cannondale,",, 0:23",+0:23,,,1,2014
34,116,57,+0:23,,,Lancaster Brett,57,Orica GreenEDGE,",, 0:23",+0:23,,,1,2014
26,23,58,+0:23,,,Boeckmans Kris,58,Lotto Belisol,",, 0:23",+0:23,,,1,2014
27,104,59,+1:00,,,Goddaert Kristof,59,IAM Cycling,1:00 1:00,+1:00,,,1,2014
31,147,60,+1:00,,,Mondory Lloyd,60,AG2R La Mondiale,",, 1:00",+1:00,,,1,2014
