Rnk,Rider,Age,Team,year,stage
1,Rodr\xedguez Joaquim,32,Team Katusha,2011,7
2,Wiggins Bradley,31,Sky Procycling,2011,7
3,Vinokourov Alexandre,37,Pro Team Astana,2011,7
4,Degenkolb John,22,HTC - High Road,2011,7
5,Voeckler Thomas,31,Team Europcar,2011,7
6,Van den Broeck Jurgen,28,Omega Pharma-Lotto,2011,7
7,Boasson Hagen Edvald,24,Sky Procycling,2011,7
8,Evans Cadel,34,BMC Racing Team,2011,7
9,Kern Christophe,30,Team Europcar,2011,7
10,Dumoulin Samuel,30,Cofidis Le Credit en Ligne,2011,7
11,Ruijgh Rob,24,Vacansoleil - DCM,2011,7
12,S\xf8rensen Chris Anker,26,Saxo Bank - Sungard,2011,7
13,Pinot Thibaut,21,FDJ,2011,7
14,Hinault S\xe9bastien,37,AG2R La Mondiale,2011,7
15,Hermans Ben,25,RadioShack,2011,7
16,Bole Grega,25,Lampre - ISD,2011,7
17,Brajkovi\u010d Janez,27,RadioShack,2011,7
18,Martens Paul,27,Rabobank Cycling Team,2011,7
19,Vaitkus Tomas,29,Pro Team Astana,2011,7
20,Wegmann Fabian,30,Leopard Trek,2011,7
21,Bonnet William,28,FDJ,2011,7
22,Martin Tony,26,HTC - High Road,2011,7
23,Boom Lars,25,Rabobank Cycling Team,2011,7
24,Riblon Christophe,30,AG2R La Mondiale,2011,7
25,Vanendert Jelle,26,Omega Pharma-Lotto,2011,7
26,Farrar Tyler,27,Team Garmin - Cerv\xe9lo,2011,7
27,Bandiera Marco,27,Quickstep Cycling Team,2011,7
28,Coppel J\xe9rome,24,Saur - Sojasun,2011,7
29,Costa Rui,24,Movistar Team,2011,7
30,Martin Daniel,24,Team Garmin - Cerv\xe9lo,2011,7
31,Gesink Robert,25,Rabobank Cycling Team,2011,7
32,Ligthart Pim,22,Vacansoleil - DCM,2011,7
33,Peraud Jean-Christophe,34,AG2R La Mondiale,2011,7
34,Dehaes Kenny,26,Omega Pharma-Lotto,2011,7
35,Chavanel S\xe9bastien,28,Team Europcar,2011,7
36,Koren Kristijan,24,Liquigas - Cannondale,2011,7
37,Lequatre Geoffroy,29,RadioShack,2011,7
38,Siutsou Kanstantsin,28,HTC - High Road,2011,7
39,Moncouti\xe9 David,36,Cofidis Le Credit en Ligne,2011,7
40,S\xe1nchez Samuel,33,Euskaltel - Euskadi,2011,7
41,Rolland Pierre,24,Team Europcar,2011,7
42,Zabriskie David,32,Team Garmin - Cerv\xe9lo,2011,7
43,Lemoine Cyril,28,Saur - Sojasun,2011,7
44,Sanchez Luis Leon,27,Rabobank Cycling Team,2011,7
45,Posthuma Joost,30,Leopard Trek,2011,7
46,Thomas Geraint,25,Sky Procycling,2011,7
47,Taaram\xe4e Rein,24,Cofidis Le Credit en Ligne,2011,7
48,Basso Ivan,33,Liquigas - Cannondale,2011,7
49,Duque Leonardo,31,Cofidis Le Credit en Ligne,2011,7
50,Zaugg Oliver,30,Leopard Trek,2011,7
51,Paterski Maciej,24,Liquigas - Cannondale,2011,7
