Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,UCI.1,stage,year
33,20.69,21,1.0,+0:00,50.0,Contador Alberto,1,Tinkoff,11:36 11:36,6.0,60.0,0,2016
31,20.513,11,2.0,+0:06,30.0,Porte Richie,2,BMC Racing Team,0:06 0:06,4.0,25.0,0,2016
31,20.31,1,3.0,+0:13,18.0,Froome Christopher,3,Team Sky,0:13 0:13,2.0,10.0,0,2016
29,20.084,41,4.0,+0:21,13.0,Martin Daniel,4,Etixx - Quick Step,0:21 0:21,1.0,,0,2016
23,20.0,42,5.0,+0:24,10.0,Alaphilippe Julian,5,Etixx - Quick Step,0:24 0:24,1.0,,0,2016
28,19.972,5,6.0,+0:25,7.0,Poels Wout,6,Team Sky,0:25 0:25,,,0,2016
25,19.862000000000002,61,7.0,+0:29,4.0,Bardet Romain,7,AG2R La Mondiale,0:29 0:29,,,0,2016
23,19.807000000000002,78,8.0,+0:31,3.0,Yates Adam,8,Orica GreenEDGE,0:31 0:31,,,0,2016
27,19.645,56,9.0,+0:37,2.0,Rosa Diego,9,Astana Pro Team,0:37 0:37,,,0,2016
25,19.592,133,10.0,+0:39,1.0,Herrada Jes\xfas,10,Movistar Team,0:39 0:39,,,0,2016
32,19.486,106,11.0,+0:43,,Navarro Daniel,11,"Cofidis, Solutions Cr\xe9dits",0:43 0:43,,,0,2016
26,19.459,4,12.0,+0:44,,Landa Mikel,12,Team Sky,0:44 0:44,,,0,2016
26,19.433,3,13.0,+0:45,,Kwiatkowski Michal,13,Team Sky,0:45 0:45,,,0,2016
34,19.407,181,14.0,+0:46,,Gasparotto Enrico,14,Wanty - Groupe Gobert,0:46 0:46,,,0,2016
29,19.355,126,15.0,+0:48,,Mollema Bauke,15,Trek - Segafredo,0:48 0:48,,,0,2016
35,19.329,121,16.0,+0:49,,Hesjedal Ryder,16,Trek - Segafredo,0:49 0:49,,,0,2016
26,19.250999999999998,31,17.0,+0:52,,Pinot Thibaut,17,FDJ,0:52 0:52,,,0,2016
23,19.250999999999998,203,18.0,+0:52,,Conti Valerio,18,Lampre - Merida,",, 0:52",,,0,2016
35,19.226,113,19.0,+0:53,,Cummings Stephen,19,Team Dimension Data,0:53 0:53,,,0,2016
24,19.2,201,20.0,+0:54,,Meintjes Louis,20,Lampre - Merida,0:54 0:54,,,0,2016
28,19.2,14,21.0,+0:54,,Caruso Damiano,21,BMC Racing Team,",, 0:54",,,0,2016
29,19.2,16,22.0,+0:54,,Hermans Ben,22,BMC Racing Team,",, 0:54",,,0,2016
31,19.2,52,23.0,+0:54,,Cataldo Dario,23,Astana Pro Team,",, 0:54",,,0,2016
29,19.174,171,24.0,+0:55,,Coppel J\xe9rome,24,IAM Cycling,0:55 0:55,,,0,2016
23,19.174,191,25.0,+0:55,,Buchmann Emanuel,25,Bora - Argon 18,",, 0:55",,,0,2016
31,19.098,75,26.0,+0:58,,Impey Daryl,26,Orica GreenEDGE,0:58 0:58,,,0,2016
32,19.098,12,27.0,+0:58,,Bookwalter Brent,27,BMC Racing Team,",, 0:58",,,0,2016
22,19.073,98,28.0,+0:59,,Vervaeke Louis,28,Lotto Soudal,0:59 0:59,,,0,2016
24,19.048,204,29.0,+1:00,,Grmay Tsgabu,29,Lampre - Merida,1:00 1:00,,,0,2016
